original row-2	State Code	County Code	Site Num	Address	State	County	City	Date Local	NO2 Units	NO2 Mean	NO2 1st Max Value	NO2 1st Max Hour	NO2 AQI	O3 Units	O3 Mean	O3 1st Max Value	O3 1st Max Hour	O3 AQI	SO2 Units	SO2 Mean	SO2 1st Max Value	SO2 1st Max Hour	SO2 AQI	CO Units	CO Mean	CO 1st Max Value	CO 1st Max Hour	CO AQI
13928	6	13	1004	1865 D RUMRILL BLVD, San Pablo	California	Contra Costa	San Pablo	2013-01-01	Parts per billion	12.226087	25.1	21	24	Parts per million	0.02075	0.032	9	27	Parts per billion	0.808442	1.5	8	1.0	Parts per million	0.3849035	1.0	0	7.0
13932	6	13	1004	1865 D RUMRILL BLVD, San Pablo	California	Contra Costa	San Pablo	2013-01-02	Parts per billion	15.769565	28.5	18	26	Parts per million	0.017208	0.031	9	26	Parts per billion	0.9227275	1.5	11	1.0	Parts per million	0.4019925	0.6	17	6.0
13936	6	13	1004	1865 D RUMRILL BLVD, San Pablo	California	Contra Costa	San Pablo	2013-01-03	Parts per billion	22.773913	32.4	19	30	Parts per million	0.009417	0.02	9	17	Parts per billion	1.2022725	3.1	10	4.0	Parts per million	0.5405795	0.8	6	7.0
13940	6	13	1004	1865 D RUMRILL BLVD, San Pablo	California	Contra Costa	San Pablo	2013-01-04	Parts per billion	18.508696	28.0	0	26	Parts per million	0.012333	0.027	10	23	Parts per billion	1.3366885	4.1	9	6.0	Parts per million	0.465761	0.7	8	7.0
13944	6	13	1004	1865 D RUMRILL BLVD, San Pablo	California	Contra Costa	San Pablo	2013-01-05	Parts per billion	19.782609	29.9	10	27	Parts per million	0.008542	0.023	23	19	Parts per billion	0.7717535	1.7	12	1.0	Parts per million	0.631703	1.1	9	9.0
13948	6	13	1004	1865 D RUMRILL BLVD, San Pablo	California	Contra Costa	San Pablo	2013-01-06	Parts per billion	11.513043	32.3	18	30	Parts per million	0.015167	0.028	9	24	Parts per billion	0.3623375	0.9	20	0.0	Parts per million	0.4539855	1.2	20	9.0
13952	6	13	1004	1865 D RUMRILL BLVD, San Pablo	California	Contra Costa	San Pablo	2013-01-07	Parts per billion	18.065217	28.3	10	26	Parts per million	0.004667	0.012	9	10	Parts per billion	0.774026	1.5	11	1.0	Parts per million	0.7189315	1.4	7	10.0
13956	6	13	1004	1865 D RUMRILL BLVD, San Pablo	California	Contra Costa	San Pablo	2013-01-08	Parts per billion	18.252174	27.7	21	25	Parts per million	0.0075	0.019	10	16	Parts per billion	1.4016235	4.1	10	6.0	Parts per million	0.533605	0.8	0	9.0
13960	6	13	1004	1865 D RUMRILL BLVD, San Pablo	California	Contra Costa	San Pablo	2013-01-09	Parts per billion	14.330435	27.1	12	25	Parts per million	0.022	0.037	15	31	Parts per billion	0.8272725000000001	2.5	10	3.0	Parts per million	0.469475	1.5	8	9.0
13964	6	13	1004	1865 D RUMRILL BLVD, San Pablo	California	Contra Costa	San Pablo	2013-01-10	Parts per billion	6.782609	32.2	7	30	Parts per million	0.030375	0.035	21	30	Parts per billion	0.218182	0.5	7	0.0	Parts per million	0.2362315	0.6	7	3.0
13968	6	13	1004	1865 D RUMRILL BLVD, San Pablo	California	Contra Costa	San Pablo	2013-01-11	Parts per billion	11.786957	34.4	19	32	Parts per million	0.020583	0.031	0	26	Parts per billion	0.4412339999999999	1.6	12	1.0	Parts per million	0.3262684999999999	0.9	19	6.0
13972	6	13	1004	1865 D RUMRILL BLVD, San Pablo	California	Contra Costa	San Pablo	2013-01-12	Parts per billion	13.943478	31.8	18	29	Parts per million	0.016292	0.03	10	25	Parts per billion	0.9435065	2.0	15	3.0	Parts per million	0.4209239999999999	0.7	18	7.0
13976	6	13	1004	1865 D RUMRILL BLVD, San Pablo	California	Contra Costa	San Pablo	2013-01-13	Parts per billion	13.647826	32.9	18	30	Parts per million	0.021875	0.029	20	25	Parts per billion	1.064935	3.6	13	4.0	Parts per million	0.384873	0.8	18	6.0
13980	6	13	1004	1865 D RUMRILL BLVD, San Pablo	California	Contra Costa	San Pablo	2013-01-14	Parts per billion	15.16087	36.4	18	34	Parts per million	0.017792	0.034	9	29	Parts per billion	0.741558	2.0	9	3.0	Parts per million	0.398188	0.9	18	7.0
13984	6	13	1004	1865 D RUMRILL BLVD, San Pablo	California	Contra Costa	San Pablo	2013-01-15	Parts per billion	22.391304	41.9	18	39	Parts per million	0.011292	0.029	10	25	Parts per billion	1.3048705	2.9	17	3.0	Parts per million	0.5490035	1.2	8	8.0
13988	6	13	1004	1865 D RUMRILL BLVD, San Pablo	California	Contra Costa	San Pablo	2013-01-16	Parts per billion	24.878261	44.6	19	42	Parts per million	0.012292	0.027	10	23	Parts per billion	1.367208	2.3	12	3.0	Parts per million	0.6146739999999999	1.4	7	10.0
13992	6	13	1004	1865 D RUMRILL BLVD, San Pablo	California	Contra Costa	San Pablo	2013-01-17	Parts per billion	29.8	39.1	19	37	Parts per million	0.008333	0.014	14	12	Parts per billion	1.7885415	2.6	23	3.0	Parts per million	0.4296075	0.7	20	7.0
13996	6	13	1004	1865 D RUMRILL BLVD, San Pablo	California	Contra Costa	San Pablo	2013-01-18	Parts per billion	20.895652	40.5	7	38	Parts per million	0.017583	0.034	9	29	Parts per billion	1.387987	3.4	0	4.0	Parts per million	0.3574275	0.7	7	6.0
14000	6	13	1004	1865 D RUMRILL BLVD, San Pablo	California	Contra Costa	San Pablo	2013-01-19	Parts per billion	16.073913	29.3	7	27	Parts per million	0.018375	0.032	9	27	Parts per billion	1.399675	4.2	7	6.0	Parts per million	0.314674	0.4	0	5.0
14004	6	13	1004	1865 D RUMRILL BLVD, San Pablo	California	Contra Costa	San Pablo	2013-01-20	Parts per billion	16.565217	34.6	19	32	Parts per million	0.017458	0.034	9	29	Parts per billion	1.0594155	2.3	7	3.0	Parts per million	0.326087	0.8	19	6.0
14008	6	13	1004	1865 D RUMRILL BLVD, San Pablo	California	Contra Costa	San Pablo	2013-01-21	Parts per billion	16.430435	30.3	8	28	Parts per million	0.022875	0.034	10	29	Parts per billion	1.342857	3.3	8	4.0	Parts per million	0.365489	0.6	0	7.0
14012	6	13	1004	1865 D RUMRILL BLVD, San Pablo	California	Contra Costa	San Pablo	2013-01-22	Parts per billion	16.478261	25.9	8	24	Parts per million	0.016875	0.025	9	21	Parts per billion	0.964935	2.3	13	3.0	Parts per million	0.4108695	0.8	8	6.0
14016	6	13	1004	1865 D RUMRILL BLVD, San Pablo	California	Contra Costa	San Pablo	2013-01-23	Parts per billion	25.308696	38.8	8	36	Parts per million	0.006833	0.017	22	14	Parts per billion	0.867208	1.8	8	1.0	Parts per million	0.678714	1.7	8	10.0
