original row-2	State Code	County Code	Site Num	Address	State	County	City	Date Local	NO2 Units	NO2 Mean	NO2 1st Max Value	NO2 1st Max Hour	NO2 AQI	O3 Units	O3 Mean	O3 1st Max Value	O3 1st Max Hour	O3 AQI	SO2 Units	SO2 Mean	SO2 1st Max Value	SO2 1st Max Hour	SO2 AQI	CO Units	CO Mean	CO 1st Max Value	CO 1st Max Hour	CO AQI
18212	6	23	1005	170 meters SE of Donna Dr. & Humboldt Hill Rd., Eureka, CA	California	Humboldt	Not in a city	2013-01-01	Parts per billion	1.1	1.7	2	1	Parts per million	0.026125	0.03	21	25	Parts per billion	0.0	0.0	8	0.0	Parts per million	0.4020835	0.5	2	5.0
18216	6	23	1005	170 meters SE of Donna Dr. & Humboldt Hill Rd., Eureka, CA	California	Humboldt	Not in a city	2013-01-02	Parts per billion	1.433333	5.2	14	5	Parts per million	0.03	0.036	23	31	Parts per billion	0.0	0.0	0	0.0	Parts per million	0.4	0.4	0	5.0
18220	6	23	1005	170 meters SE of Donna Dr. & Humboldt Hill Rd., Eureka, CA	California	Humboldt	Not in a city	2013-01-03	Parts per billion	0.570833	1.2	22	1	Parts per million	0.033083	0.036	0	31	Parts per billion	0.0	0.0	0	0.0	Parts per million	0.4020835	0.5	22	5.0
18224	6	23	1005	170 meters SE of Donna Dr. & Humboldt Hill Rd., Eureka, CA	California	Humboldt	Not in a city	2013-01-04	Parts per billion	1.443478	3.6	16	3	Parts per million	0.024333	0.028	0	24	Parts per billion	0.0	0.0	18	0.0	Parts per million	0.404348	0.5	16	5.0
18228	6	23	1005	170 meters SE of Donna Dr. & Humboldt Hill Rd., Eureka, CA	California	Humboldt	Not in a city	2013-01-05	Parts per billion	1.804545	4.8	17	4	Parts per million	0.021318	0.026	4	22	Parts per billion	0.0	0.0	1	0.0	Parts per million	0.44375	0.6	16	6.0
18232	6	23	1005	170 meters SE of Donna Dr. & Humboldt Hill Rd., Eureka, CA	California	Humboldt	Not in a city	2013-01-06	Parts per billion	1.3	2.8	17	2	Parts per million	0.031136	0.033	11	28	Parts per billion	0.0	0.0	4	0.0	Parts per million	0.4847825	0.6	17	6.0
18236	6	23	1005	170 meters SE of Donna Dr. & Humboldt Hill Rd., Eureka, CA	California	Humboldt	Not in a city	2013-01-07	Parts per billion	2.2875	6.5	19	6	Parts per million	0.022	0.031	0	26	Parts per billion	0.0	0.0	6	0.0	Parts per million	0.4875	0.6	17	7.0
18240	6	23	1005	170 meters SE of Donna Dr. & Humboldt Hill Rd., Eureka, CA	California	Humboldt	Not in a city	2013-01-08	Parts per billion	1.652174	2.8	17	2	Parts per million	0.0205	0.024	22	20	Parts per billion	0.0	0.0	3	0.0	Parts per million	0.5105075	0.6	3	7.0
18244	6	23	1005	170 meters SE of Donna Dr. & Humboldt Hill Rd., Eureka, CA	California	Humboldt	Not in a city	2013-01-09	Parts per billion	0.927273	2.6	18	2	Parts per million	0.033167	0.037	8	31	Parts per billion	0.0	0.0	0	0.0	Parts per million	0.4916665	0.5	0	6.0
18248	6	23	1005	170 meters SE of Donna Dr. & Humboldt Hill Rd., Eureka, CA	California	Humboldt	Not in a city	2013-01-10	Parts per billion	0.883333	1.8	16	1	Parts per million	0.032125	0.035	10	30	Parts per billion	0.0	0.0	17	0.0	Parts per million	0.4958335	0.5	0	6.0
18252	6	23	1005	170 meters SE of Donna Dr. & Humboldt Hill Rd., Eureka, CA	California	Humboldt	Not in a city	2013-01-11	Parts per billion	0.925	2.8	18	2	Parts per million	0.029625	0.033	10	28	Parts per billion	0.0	0.0	0	0.0	Parts per million	0.5041665	0.6	17	6.0
18256	6	23	1005	170 meters SE of Donna Dr. & Humboldt Hill Rd., Eureka, CA	California	Humboldt	Not in a city	2013-01-12	Parts per billion	0.969565	2.6	18	2	Parts per million	0.0281	0.032	10	27	Parts per billion	0.0	0.0	1	0.0	Parts per million	0.504348	0.6	17	6.0
18260	6	23	1005	170 meters SE of Donna Dr. & Humboldt Hill Rd., Eureka, CA	California	Humboldt	Not in a city	2013-01-13	Parts per billion	1.457143	2.5	22	2	Parts per million	0.02895	0.032	13	27	Parts per billion	0.0	0.0	16	0.0	Parts per million	0.515036	0.6	5	7.0
18264	6	23	1005	170 meters SE of Donna Dr. & Humboldt Hill Rd., Eureka, CA	California	Humboldt	Not in a city	2013-01-14	Parts per billion	1.733333	4.0	12	4	Parts per million	0.028958	0.031	13	26	Parts per billion	0.0	0.0	0	0.0	Parts per million	0.5062500000000001	0.6	12	7.0
18268	6	23	1005	170 meters SE of Donna Dr. & Humboldt Hill Rd., Eureka, CA	California	Humboldt	Not in a city	2013-01-15	Parts per billion	2.45	6.2	17	6	Parts per million	0.023208	0.028	0	24	Parts per billion	0.0	0.0	0	0.0	Parts per million	0.5104165	0.6	8	6.0
18272	6	23	1005	170 meters SE of Donna Dr. & Humboldt Hill Rd., Eureka, CA	California	Humboldt	Not in a city	2013-01-16	Parts per billion	1.76087	4.4	12	4	Parts per million	0.021583	0.025	10	21	Parts per billion	0.0	0.0	0	0.0	Parts per million	0.403788	0.6	0	6.0
18276	6	23	1005	170 meters SE of Donna Dr. & Humboldt Hill Rd., Eureka, CA	California	Humboldt	Not in a city	2013-01-17	Parts per billion	2.863636	5.2	19	5	Parts per million	0.00975	0.014	7	12	Parts per billion	0.0	0.0	0	0.0	Parts per million	0.2270835	0.3	1	3.0
18280	6	23	1005	170 meters SE of Donna Dr. & Humboldt Hill Rd., Eureka, CA	California	Humboldt	Not in a city	2013-01-18	Parts per billion	2.533333	2.8	0	2	Parts per million	0.008333	0.015	23	13	Parts per billion	0.0	0.0	0	0.0	Parts per million	0.2708335	0.4	12	3.0
18284	6	23	1005	170 meters SE of Donna Dr. & Humboldt Hill Rd., Eureka, CA	California	Humboldt	Not in a city	2013-01-24	Parts per billion	3.975	5.4	16	5	Parts per million	0.016792	0.027	0	23	Parts per billion	0.0	0.0	0	0.0	Parts per million	0.297826	0.4	18	3.0
18288	6	23	1005	170 meters SE of Donna Dr. & Humboldt Hill Rd., Eureka, CA	California	Humboldt	Not in a city	2013-01-25	Parts per billion	1.454545	3.1	11	3	Parts per million	0.019917	0.03	20	25	Parts per billion	0.0	0.0	0	0.0	Parts per million	0.2854164999999999	0.3	0	3.0
18292	6	23	1005	170 meters SE of Donna Dr. & Humboldt Hill Rd., Eureka, CA	California	Humboldt	Not in a city	2013-01-26	Parts per billion	0.808333	2.0	18	2	Parts per million	0.032045	0.035	8	30	Parts per billion	0.0	0.0	16	0.0	Parts per million	0.258333	0.4	18	3.0
18296	6	23	1005	170 meters SE of Donna Dr. & Humboldt Hill Rd., Eureka, CA	California	Humboldt	Not in a city	2013-01-27	Parts per billion	1.3	2.6	18	2	Parts per million	0.031273	0.035	11	30	Parts per billion	0.0	0.0	18	0.0	Parts per million	0.304348	0.4	17	3.0
18300	6	23	1005	170 meters SE of Donna Dr. & Humboldt Hill Rd., Eureka, CA	California	Humboldt	Not in a city	2013-01-28	Parts per billion	1.278261	4.2	10	4	Parts per million	0.03125	0.034	11	29	Parts per billion	0.0	0.0	5	0.0	Parts per million	0.302174	0.4	10	3.0
18304	6	23	1005	170 meters SE of Donna Dr. & Humboldt Hill Rd., Eureka, CA	California	Humboldt	Not in a city	2013-01-29	Parts per billion	1.35	4.5	9	4	Parts per million	0.030542	0.035	11	30	Parts per billion	0.0	0.0	5	0.0	Parts per million	0.3020835	0.4	9	3.0
18308	6	23	1005	170 meters SE of Donna Dr. & Humboldt Hill Rd., Eureka, CA	California	Humboldt	Not in a city	2013-01-30	Parts per billion	1.25	2.9	17	2	Parts per million	0.023042	0.029	14	25	Parts per billion	0.0	0.0	0	0.0	Parts per million	0.30625	0.4	17	3.0
18312	6	23	1005	170 meters SE of Donna Dr. & Humboldt Hill Rd., Eureka, CA	California	Humboldt	Not in a city	2013-01-31	Parts per billion	1.8	3.1	13	3	Parts per million	0.016333	0.018	10	15	Parts per billion	0.0	0.0	1	0.0	Parts per million	0.3020835	0.4	23	3.0
18316	6	23	1005	170 meters SE of Donna Dr. & Humboldt Hill Rd., Eureka, CA	California	Humboldt	Not in a city	2013-02-01	Parts per billion	2.282609	7.1	13	7	Parts per million	0.0215	0.028	20	24	Parts per billion	0.0	0.0	0	0.0	Parts per million	0.329801	0.5	13	5.0
18320	6	23	1005	170 meters SE of Donna Dr. & Humboldt Hill Rd., Eureka, CA	California	Humboldt	Not in a city	2013-02-02	Parts per billion	1.313636	2.4	11	2	Parts per million	0.027045	0.034	15	29	Parts per billion	0.0	0.0	0	0.0	Parts per million	0.3208335	0.4	11	5.0
18324	6	23	1005	170 meters SE of Donna Dr. & Humboldt Hill Rd., Eureka, CA	California	Humboldt	Not in a city	2013-02-03	Parts per billion	1.4875	2.0	6	2	Parts per million	0.023545	0.028	14	24	Parts per billion	0.0	0.0	6	0.0	Parts per million	0.3490035	0.4	1	5.0
18328	6	23	1005	170 meters SE of Donna Dr. & Humboldt Hill Rd., Eureka, CA	California	Humboldt	Not in a city	2013-02-04	Parts per billion	1.347826	2.0	9	2	Parts per million	0.024208	0.029	17	25	Parts per billion	0.0	0.0	1	0.0	Parts per million	0.33125	0.4	1	5.0
18332	6	23	1005	170 meters SE of Donna Dr. & Humboldt Hill Rd., Eureka, CA	California	Humboldt	Not in a city	2013-02-05	Parts per billion	0.65	1.1	19	1	Parts per million	0.030667	0.035	12	30	Parts per billion	0.0	0.0	0	0.0	Parts per million	0.3	0.3	0	3.0
18336	6	23	1005	170 meters SE of Donna Dr. & Humboldt Hill Rd., Eureka, CA	California	Humboldt	Not in a city	2013-02-06	Parts per billion	0.433333	1.9	18	1	Parts per million	0.032417	0.036	21	31	Parts per billion	0.0	0.0	1	0.0	Parts per million	0.3	0.3	0	3.0
18340	6	23	1005	170 meters SE of Donna Dr. & Humboldt Hill Rd., Eureka, CA	California	Humboldt	Not in a city	2013-02-07	Parts per billion	0.504167	2.3	23	2	Parts per million	0.031125	0.035	0	30	Parts per billion	0.0	0.0	16	0.0	Parts per million	0.389583	0.5	23	5.0
18344	6	23	1005	170 meters SE of Donna Dr. & Humboldt Hill Rd., Eureka, CA	California	Humboldt	Not in a city	2013-02-08	Parts per billion	1.166667	2.2	7	2	Parts per million	0.029583	0.033	16	28	Parts per billion	0.0	0.0	0	0.0	Parts per million	0.4041665	0.5	1	5.0
18348	6	23	1005	170 meters SE of Donna Dr. & Humboldt Hill Rd., Eureka, CA	California	Humboldt	Not in a city	2013-02-15	Parts per billion	2.075	4.0	16	4	Parts per million	0.027708	0.034	0	29	Parts per billion	0.0	0.0	1	0.0	Parts per million	0.4	0.4	0	5.0
18352	6	23	1005	170 meters SE of Donna Dr. & Humboldt Hill Rd., Eureka, CA	California	Humboldt	Not in a city	2013-02-16	Parts per billion	1.2125	2.4	11	2	Parts per million	0.025364	0.034	17	29	Parts per billion	0.0	0.0	3	0.0	Parts per million	0.4812499999999999	0.5	1	6.0
18356	6	23	1005	170 meters SE of Donna Dr. & Humboldt Hill Rd., Eureka, CA	California	Humboldt	Not in a city	2013-02-17	Parts per billion	0.953333	1.3	7	1	Parts per million	0.031364	0.036	14	31	Parts per billion	0.0	0.0	6	0.0	Parts per million	0.4672345	0.5	0	6.0
18360	6	23	1005	170 meters SE of Donna Dr. & Humboldt Hill Rd., Eureka, CA	California	Humboldt	Not in a city	2013-02-18	Parts per billion	1.104545	2.1	14	2	Parts per million	0.032375	0.035	11	30	Parts per billion	0.0	0.0	0	0.0	Parts per million	0.4958335	0.5	0	6.0
18364	6	23	1005	170 meters SE of Donna Dr. & Humboldt Hill Rd., Eureka, CA	California	Humboldt	Not in a city	2013-02-19	Parts per billion	0.770833	2.8	18	2	Parts per million	0.036042	0.039	9	33	Parts per billion	0.0	0.0	5	0.0	Parts per million	0.49375	0.5	2	6.0
18368	6	23	1005	170 meters SE of Donna Dr. & Humboldt Hill Rd., Eureka, CA	California	Humboldt	Not in a city	2013-02-20	Parts per billion	1.1375	2.1	9	2	Parts per million	0.029458	0.032	11	27	Parts per billion	0.0	0.0	0	0.0	Parts per million	0.5	0.5	0	6.0
