original row-2	State Code	County Code	Site Num	Address	State	County	City	Date Local	NO2 Units	NO2 Mean	NO2 1st Max Value	NO2 1st Max Hour	NO2 AQI	O3 Units	O3 Mean	O3 1st Max Value	O3 1st Max Hour	O3 AQI	SO2 Units	SO2 Mean	SO2 1st Max Value	SO2 1st Max Hour	SO2 AQI	CO Units	CO Mean	CO 1st Max Value	CO 1st Max Hour	CO AQI
22174	6	37	1103	1630 N MAIN ST, LOS ANGELES	California	Los Angeles	Los Angeles	2013-01-01	Parts per billion	24.079167	37.3	18	35	Parts per million	0.014167	0.031	9	29	Parts per billion	0.2102485	0.5	0	0.0	Parts per million	0.71245225	1.4	21	14.0
22182	6	37	1103	1630 N MAIN ST, LOS ANGELES	California	Los Angeles	Los Angeles	2013-01-02	Parts per billion	33.025	44.3	19	42	Parts per million	0.011583	0.025	10	23	Parts per billion	0.8900625	4.9	10	6.0	Parts per million	0.93307425	1.8	7	15.0
22190	6	37	1103	1630 N MAIN ST, LOS ANGELES	California	Los Angeles	Los Angeles	2013-01-03	Parts per billion	36.541667	47.8	8	44	Parts per million	0.011333	0.024	9	22	Parts per billion	0.862733	1.8	7	1.0	Parts per million	0.987355	1.8	8	15.0
22198	6	37	1103	1630 N MAIN ST, LOS ANGELES	California	Los Angeles	Los Angeles	2013-01-04	Parts per billion	36.826087	45.5	20	42	Parts per million	0.012042	0.027	10	25	Parts per billion	0.6621115	1.1	20	1.0	Parts per million	0.8566395	1.7	20	16.0
22206	6	37	1103	1630 N MAIN ST, LOS ANGELES	California	Los Angeles	Los Angeles	2013-01-05	Parts per billion	33.466667	41.3	17	39	Parts per million	0.010958	0.023	9	21	Parts per billion	0.5894410000000001	1.0	0	1.0	Parts per million	0.92442025	1.7	21	18.0
22214	6	37	1103	1630 N MAIN ST, LOS ANGELES	California	Los Angeles	Los Angeles	2013-01-06	Parts per billion	21.804167	38.0	1	36	Parts per million	0.018542	0.036	10	33	Parts per billion	0.328882	4.8	1	6.0	Parts per million	0.5934075	1.4	1	16.0
22222	6	37	1103	1630 N MAIN ST, LOS ANGELES	California	Los Angeles	Los Angeles	2013-01-07	Parts per billion	30.866667	45.9	18	42	Parts per million	0.012042	0.026	9	24	Parts per billion	0.3785715	1.3	8	1.0	Parts per million	0.7076902500000001	1.5	21	14.0
22230	6	37	1103	1630 N MAIN ST, LOS ANGELES	California	Los Angeles	Los Angeles	2013-01-08	Parts per billion	41.454167	55.0	9	52	Parts per million	0.007833	0.014	8	13	Parts per billion	1.180435	6.0	16	9.0	Parts per million	1.12202525	2.2	8	17.0
22238	6	37	1103	1630 N MAIN ST, LOS ANGELES	California	Los Angeles	Los Angeles	2013-01-09	Parts per billion	38.275	60.5	13	57	Parts per million	0.010875	0.017	20	16	Parts per billion	1.1232920000000002	2.8	12	3.0	Parts per million	1.09547275	2.3	8	19.0
22246	6	37	1103	1630 N MAIN ST, LOS ANGELES	California	Los Angeles	Los Angeles	2013-01-10	Parts per billion	10.790909	29.0	5	27	Parts per million	0.033625	0.04	10	37	Parts per billion	0.0381984999999999	0.3	4	0.0	Parts per million	0.28559475	0.6	4	6.0
22254	6	37	1103	1630 N MAIN ST, LOS ANGELES	California	Los Angeles	Los Angeles	2013-01-11	Parts per billion	7.629167	25.5	6	24	Parts per million	0.033375	0.038	9	35	Parts per billion	0.054037	0.2	4	0.0	Parts per million	0.2720255	0.6	8	6.0
22262	6	37	1103	1630 N MAIN ST, LOS ANGELES	California	Los Angeles	Los Angeles	2013-01-12	Parts per billion	21.179167	38.5	20	36	Parts per million	0.017083	0.031	9	29	Parts per billion	0.1201865	0.5	20	0.0	Parts per million	0.46777725	1.2	21	10.0
22270	6	37	1103	1630 N MAIN ST, LOS ANGELES	California	Los Angeles	Los Angeles	2013-01-13	Parts per billion	22.733333	35.4	23	33	Parts per million	0.018208	0.036	10	33	Parts per billion	0.0785715	0.3	2	0.0	Parts per million	0.5657877499999999	1.1	0	11.0
22278	6	37	1103	1630 N MAIN ST, LOS ANGELES	California	Los Angeles	Los Angeles	2013-01-14	Parts per billion	33.179167	45.3	18	42	Parts per million	0.012625	0.025	9	23	Parts per billion	0.7065215	1.6	19	1.0	Parts per million	0.73099975	1.7	7	13.0
22286	6	37	1103	1630 N MAIN ST, LOS ANGELES	California	Los Angeles	Los Angeles	2013-01-15	Parts per billion	31.233333	42.9	7	40	Parts per million	0.013208	0.027	10	25	Parts per billion	0.5478259999999999	2.3	5	3.0	Parts per million	0.689821	1.5	6	11.0
22294	6	37	1103	1630 N MAIN ST, LOS ANGELES	California	Los Angeles	Los Angeles	2013-01-16	Parts per billion	38.7375	46.8	8	43	Parts per million	0.009125	0.017	9	16	Parts per billion	0.7	1.6	8	1.0	Parts per million	0.983105	2.0	8	16.0
22302	6	37	1103	1630 N MAIN ST, LOS ANGELES	California	Los Angeles	Los Angeles	2013-01-17	Parts per billion	44.64	56.5	9	53	Parts per million	0.009625	0.019	9	18	Parts per billion	1.1204545	2.4	8	3.0	Parts per million	1.1935635	2.4	8	19.0
22310	6	37	1103	1630 N MAIN ST, LOS ANGELES	California	Los Angeles	Los Angeles	2013-01-18	Parts per billion	33.25625	46.4	18	43	Parts per million	0.012	0.026	9	24	Parts per billion	0.693789	1.7	1	1.0	Parts per million	0.937415	1.7	18	17.0
22318	6	37	1103	1630 N MAIN ST, LOS ANGELES	California	Los Angeles	Los Angeles	2013-01-19	Parts per billion	31.229167	45.9	18	42	Parts per million	0.014333	0.033	9	31	Parts per billion	0.5670805000000001	1.1	19	1.0	Parts per million	0.8207465	1.8	19	16.0
22326	6	37	1103	1630 N MAIN ST, LOS ANGELES	California	Los Angeles	Los Angeles	2013-01-20	Parts per billion	26.9875	43.5	19	41	Parts per million	0.016417	0.036	10	33	Parts per billion	0.1825	0.5	0	0.0	Parts per million	0.6913787499999999	1.5	19	15.0
22334	6	37	1103	1630 N MAIN ST, LOS ANGELES	California	Los Angeles	Los Angeles	2013-01-21	Parts per billion	34.854167	47.5	8	44	Parts per million	0.011625	0.025	9	23	Parts per billion	0.926708	1.9	8	1.0	Parts per million	0.937875	1.8	20	16.0
22342	6	37	1103	1630 N MAIN ST, LOS ANGELES	California	Los Angeles	Los Angeles	2013-01-22	Parts per billion	38.929167	54.1	18	51	Parts per million	0.01	0.02	8	19	Parts per billion	0.8161905	1.4	21	1.0	Parts per million	0.92728625	2.1	20	18.0
22350	6	37	1103	1630 N MAIN ST, LOS ANGELES	California	Los Angeles	Los Angeles	2013-01-23	Parts per billion	34.370833	42.6	9	40	Parts per million	0.01	0.015	22	14	Parts per billion	0.328882	1.0	21	1.0	Parts per million	0.6294839999999999	1.6	0	18.0
22358	6	37	1103	1630 N MAIN ST, LOS ANGELES	California	Los Angeles	Los Angeles	2013-01-24	Parts per billion	17.866667	25.7	17	24	Parts per million	0.009625	0.015	0	14	Parts per billion	0.0839284999999999	0.4	20	0.0	Parts per million	0.41219225	1.3	20	11.0
22366	6	37	1103	1630 N MAIN ST, LOS ANGELES	California	Los Angeles	Los Angeles	2013-01-25	Parts per billion	22.020833	26.9	16	25	Parts per million	0.007833	0.013	7	12	Parts per billion	0.2152175	0.5	16	0.0	Parts per million	0.480547	1.0	0	11.0
22374	6	37	1103	1630 N MAIN ST, LOS ANGELES	California	Los Angeles	Los Angeles	2013-01-26	Parts per billion	15.473913	22.1	0	21	Parts per million	0.015958	0.022	9	20	Parts per billion	0.2108695	0.5	13	0.0	Parts per million	0.35382775	0.7	0	8.0
