original row-2	State Code	County Code	Site Num	Address	State	County	City	Date Local	NO2 Units	NO2 Mean	NO2 1st Max Value	NO2 1st Max Hour	NO2 AQI	O3 Units	O3 Mean	O3 1st Max Value	O3 1st Max Hour	O3 AQI	SO2 Units	SO2 Mean	SO2 1st Max Value	SO2 1st Max Hour	SO2 AQI	CO Units	CO Mean	CO 1st Max Value	CO 1st Max Hour	CO AQI
179162	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2014-03-01	Parts per billion	6.384211	28.8	23	26	Parts per million	0.028789	0.038	10	35	Parts per billion	0.7026315000000001	1.0	20	1.0	Parts per million	0.245066	0.5	23	3.0
179166	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2014-03-02	Parts per billion	8.617391	18.6	0	17	Parts per million	0.021875	0.035	11	32	Parts per billion	0.9136365	1.2	0	1.0	Parts per million	0.3125	0.4	0	5.0
179170	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2014-03-03	Parts per billion	20.318182	31.8	18	29	Parts per million	0.011708	0.025	22	23	Parts per billion	1.3488095	3.8	11	4.0	Parts per million	0.5113635000000001	0.9	7	7.0
179174	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2014-03-04	Parts per billion	7.956522	16.6	23	15	Parts per million	0.022333	0.032	8	30	Parts per billion	0.266883	0.6	0	0.0	Parts per million	0.293297	0.5	18	6.0
179178	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2014-03-05	Parts per billion	12.756522	23.8	1	22	Parts per million	0.016833	0.027	21	25	Parts per billion	0.6623375	1.9	10	1.0	Parts per million	0.3997285	0.5	0	6.0
179182	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2014-03-06	Parts per billion	6.547826	28.9	7	26	Parts per million	0.026167	0.037	11	34	Parts per billion	0.206818	0.7	9	0.0	Parts per million	0.282971	0.9	7	5.0
179186	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2014-03-07	Parts per billion	10.427273	24.9	23	23	Parts per million	0.016708	0.034	10	31	Parts per billion	0.4866664999999999	1.0	4	1.0	Parts per million	0.3636365	1.0	7	7.0
179190	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2014-03-08	Parts per billion	11.826087	26.5	19	25	Parts per million	0.015708	0.033	10	31	Parts per billion	0.6853895	1.3	7	1.0	Parts per million	0.482699	0.9	1	9.0
179194	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2014-03-09	Parts per billion	11.282609	21.1	0	20	Parts per million	0.023375	0.033	10	31	Parts per billion	0.5298705	1.0	20	1.0	Parts per million	0.378623	0.5	0	6.0
179198	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2014-03-10	Parts per billion	7.026087	27.0	21	25	Parts per million	0.029542	0.042	10	39	Parts per billion	0.225325	0.7	0	0.0	Parts per million	0.264312	0.8	21	5.0
